T_REC,noaaID,Class,one,MPlus,y_true
20240218,13584.0,N,0.216,0.8132,0
20240218,13586.0,N,0.36,0.0235,0
20240218,13587.0,N,0.175,0.1378,0
20240219,13581.0,N,0.228,0.008,0
20240219,13584.0,N,0.206,0.0574,0
20240219,13586.0,N,0.354,0.0236,0
20240219,13587.0,N,0.172,0.0037,0
20240220,13584.0,C,0.212,0.0056,0
20240220,13586.0,N,0.348,0.0383,0
20240221,13586.0,N,0.294,0.002,0
20240222,13586.0,N,0.328,0.0022,0
20240222,13590.0,X,0.838,0.1735,1
20240223,13586.0,N,0.336,0.0026,0
20240223,13590.0,M,0.899,0.0187,1
20240224,13586.0,N,0.324,0.0016,0
20240224,13590.0,M,0.931,0.0983,1
20240225,13586.0,N,0.321,0.0015,0
20240225,13590.0,M,0.963,0.7186,1
20240226,13591.0,N,0.332,0.0015,0
20240226,13594.0,N,0.227,0.0017,0
20240227,13591.0,N,0.297,0.0019,0
20240227,13594.0,N,0.208,0.1328,0
20240228,13590.0,M,0.966,0.0625,1
20240228,13591.0,N,0.269,0.0017,0
20240228,13592.0,N,0.221,0.0831,0
20240228,13594.0,C,0.21,0.1115,0
20240228,13595.0,N,0.444,0.0584,0
20240229,13590.0,C,0.95,0.0838,0
20240229,13591.0,N,0.229,0.0028,0
20240229,13592.0,N,0.168,0.004,0
20240229,13594.0,C,0.213,0.0045,0
20240229,13595.0,N,0.433,0.184,0
20240229,13596.0,C,0.367,0.0049,0
20240301,13591.0,N,0.195,0.2037,0
20240301,13595.0,C,0.409,0.1903,0
20240301,13596.0,N,0.282,0.0042,0
20240302,13591.0,N,0.228,0.0671,0
20240302,13595.0,C,0.401,0.0151,0
20240302,13596.0,N,0.217,0.1051,0
20240303,13591.0,C,0.253,0.1493,0
20240303,13592.0,C,0.357,0.009,0
20240303,13595.0,N,0.405,0.1157,0
20240303,13596.0,N,0.202,0.005,0
20240304,13591.0,N,0.258,0.227,0
20240304,13595.0,C,0.43,0.002,0
20240304,13596.0,N,0.214,0.1527,0
20240305,13591.0,N,0.258,0.009,0
20240305,13599.0,C,0.402,0.002,0
20240308,13602.0,N,0.154,0.0043,0
20240308,13603.0,N,0.143,0.0063,0
20240308,13604.0,N,0.267,0.0016,0
20240309,13602.0,N,0.144,0.0206,0
20240309,13603.0,N,0.132,0.0051,0
20240309,13604.0,N,0.247,0.0662,0
20240310,13599.0,M,0.604,0.1359,1
20240310,13602.0,N,0.209,0.004,0
20240310,13603.0,C,0.121,0.0011,0
20240310,13604.0,N,0.197,0.0059,0
20240311,13599.0,C,0.566,0.0425,0
20240311,13602.0,N,0.233,0.1407,0
20240311,13604.0,N,0.178,0.0299,0
20240312,13599.0,C,0.724,0.1877,0
20240315,13606.0,N,0.154,0.0033,0
20240315,13607.0,N,0.206,0.0116,0
20240316,13607.0,N,0.15,0.1018,0
20240316,13610.0,N,0.117,0.0133,0
20240318,13607.0,N,0.194,0.0058,0
20240318,13611.0,N,0.135,0.0032,0
20240319,13607.0,N,0.354,0.0101,0
20240319,13608.0,N,0.159,0.0127,0
20240319,13611.0,N,0.119,0.0058,0
20240319,13613.0,N,0.312,0.0016,0
20240320,13607.0,N,0.354,0.0011,0
20240320,13608.0,N,0.138,0.0985,0
20240320,13611.0,N,0.121,0.0034,0
20240320,13613.0,C,0.311,0.0009,0
20240320,13614.0,N,0.832,0.1485,0
20240321,13608.0,N,0.171,0.0853,0
20240321,13614.0,C,0.774,0.0216,0
20240321,13615.0,C,0.901,0.0798,0
20240321,13616.0,N,0.246,0.0057,0
20240322,13614.0,C,0.767,0.0208,0
20240322,13615.0,C,0.699,0.0651,0
20240323,13614.0,N,0.701,0.0045,0
20240323,13615.0,M,0.738,0.0951,1
20240323,13617.0,N,0.375,0.0017,0
20240324,13614.0,N,0.553,0.0127,0
20240324,13615.0,M,0.964,0.9933,1
20240324,13617.0,N,0.254,0.0017,0
20240324,13619.0,N,0.413,0.0099,0
20240326,13614.0,N,0.452,0.2475,0
20240326,13615.0,M,0.796,0.0368,1
20240326,13617.0,N,0.212,0.0031,0
20240326,13619.0,N,0.365,0.0062,0
20240326,13620.0,N,0.187,0.0635,0
20240327,13614.0,N,0.501,0.0084,0
20240327,13615.0,M,0.89,0.9964,1
20240327,13617.0,N,0.166,0.0162,0
20240327,13619.0,N,0.296,0.7367,0
20240327,13620.0,N,0.134,0.0185,0
20240327,13622.0,N,0.255,0.0293,0
20240328,13615.0,X,0.905,0.9973,1
20240328,13617.0,N,0.203,0.0054,0
20240328,13619.0,N,0.289,0.0015,0
20240328,13620.0,N,0.114,0.0319,0
20240329,13617.0,N,0.234,0.1278,0
20240329,13619.0,N,0.308,0.0061,0
20240329,13620.0,N,0.113,0.5946,0
20240330,13617.0,N,0.225,0.0023,0
20240330,13619.0,N,0.313,0.0144,0
20240402,13624.0,N,0.118,0.0053,0
20240404,13624.0,N,0.113,0.1226,0
20240405,13627.0,N,0.154,0.0486,0
20240406,13627.0,N,0.158,0.1004,0
20240406,13628.0,N,0.404,0.0041,0
20240407,13628.0,N,0.393,0.0094,0
20240407,13629.0,N,0.235,0.0013,0
20240408,13628.0,N,0.371,0.002,0
20240408,13629.0,N,0.252,0.0145,0
20240408,13630.0,C,0.18,0.0095,0
20240408,13631.0,N,0.117,0.0121,0
20240408,13632.0,C,0.281,0.0048,0
20240409,13628.0,N,0.332,0.0044,0
20240409,13631.0,C,0.119,0.0112,0
20240409,13632.0,N,0.211,0.0044,0
20240409,13633.0,N,0.336,0.0105,0
20240410,13628.0,N,0.33,0.0012,0
20240410,13632.0,N,0.125,0.2755,0
20240410,13633.0,N,0.309,0.0018,0
20240412,13628.0,N,0.366,0.2401,0
20240412,13633.0,C,0.234,0.0014,0
20240412,13634.0,C,0.411,0.001,0
20240414,13633.0,N,0.235,0.0203,0
20240414,13634.0,N,0.357,0.0833,0
20240414,13635.0,N,0.249,0.0143,0
20240414,13636.0,N,0.331,0.0018,0
20240415,13633.0,N,0.253,0.0879,0
20240415,13634.0,M,0.499,0.0582,1
20240415,13635.0,N,0.22,0.0021,0
20240415,13636.0,N,0.312,0.0013,0
20240416,13633.0,N,0.257,0.1463,0
20240416,13634.0,N,0.611,0.0512,0
20240416,13635.0,N,0.285,0.9424,0
20240416,13636.0,N,0.308,0.0462,0
20240416,13637.0,C,0.698,0.0009,0
20240417,13634.0,N,0.609,0.1802,0
20240417,13636.0,N,0.296,0.0641,0
20240417,13638.0,C,0.673,0.0072,0
20240417,13639.0,C,0.714,0.0699,0
20240417,13641.0,N,0.222,0.0394,0
20240418,13636.0,N,0.248,0.0056,0
20240418,13638.0,M,0.647,0.0737,1
20240418,13641.0,N,0.215,0.05,0
20240419,13636.0,C,0.203,0.1146,0
20240419,13638.0,C,0.673,0.9962,0
20240419,13639.0,C,0.625,0.0152,0
20240419,13641.0,N,0.236,0.2367,0
20240419,13644.0,N,0.307,0.0019,0
20240420,13636.0,C,0.195,0.1504,0
20240420,13639.0,C,0.646,0.0098,0
20240420,13641.0,N,0.244,0.2148,0
20240422,13636.0,C,0.179,0.0936,0
20240424,13652.0,N,0.224,0.2322,0
20240424,13654.0,C,0.701,0.0412,0
20240424,13655.0,N,0.299,0.0336,0
20240425,13652.0,N,0.192,0.2312,0
20240425,13653.0,N,0.113,0.0317,0
20240425,13654.0,C,0.554,0.0028,0
20240425,13655.0,N,0.248,0.0152,0
20240425,13657.0,N,0.268,0.0021,0
20240426,13652.0,N,0.22,0.2375,0
20240426,13654.0,C,0.317,0.0089,0
20240426,13655.0,N,0.215,0.0415,0
20240426,13657.0,N,0.185,0.1123,0
20240428,13652.0,N,0.29,0.0136,0
20240428,13654.0,C,0.73,0.2176,0
20240428,13655.0,N,0.143,0.0111,0
20240428,13657.0,N,0.206,0.0074,0
20240430,13654.0,M,0.933,0.047,1
20240430,13655.0,N,0.24,0.0637,0
20240430,13660.0,N,0.177,0.0045,0
20240501,13655.0,N,0.265,0.0132,0
20240503,13663.0,X,0.808,0.0019,1
20240503,13662.0,N,0.243,0.0049,0
20240504,13663.0,M,0.979,0.0441,1
20240504,13662.0,N,0.253,0.2137,0
20240504,13664.0,C,0.569,0.0417,0
20240507,13663.0,M,0.918,0.9957,1
20240507,13666.0,N,0.23,0.1013,0
20240507,13667.0,N,0.293,0.2559,0
20240508,13663.0,X,0.766,0.9906,1
20240508,13664.0,X,0.989,0.9968,1
20240508,13666.0,N,0.254,0.0094,0
20240508,13667.0,N,0.307,0.0016,0
20240511,13664.0,X,0.999,0.9971,1
20240511,13667.0,N,0.248,0.0048,0
20240513,13667.0,N,0.281,0.0124,0
20240513,13672.0,N,0.266,0.002,0
20240514,13667.0,N,0.274,0.0238,0
20240514,13672.0,N,0.236,0.0028,0
20240514,13674.0,N,0.504,0.0554,0
20240514,13675.0,N,0.377,0.0013,0
20240515,13667.0,N,0.273,0.007,0
20240515,13672.0,N,0.224,0.0092,0
20240515,13679.0,C,0.534,0.0019,0
20240515,13678.0,N,0.145,0.0011,0
20240516,13672.0,C,0.179,0.0031,0
20240517,13672.0,N,0.241,0.0032,0
20240517,13682.0,N,0.363,0.0021,0
20240518,13672.0,N,0.233,0.0019,0
20240518,13679.0,C,0.62,0.2019,0
20240518,13682.0,N,0.288,0.001,0
20240519,13672.0,C,0.251,0.003,0
20240519,13682.0,N,0.272,0.259,0
20240519,13685.0,M,0.69,0.0063,1
20240521,13679.0,M,0.798,0.0224,1
20240521,13684.0,N,0.242,0.8511,0
20240521,13685.0,C,0.682,0.0205,0
20240522,13684.0,N,0.255,0.1848,0
20240522,13685.0,C,0.479,0.0273,0
20240523,13679.0,M,0.897,0.247,1
20240523,13684.0,N,0.339,0.1649,0
20240523,13685.0,C,0.472,0.7742,0
20240524,13684.0,N,0.337,0.0014,0
20240524,13685.0,M,0.528,0.0019,1
20240524,13689.0,N,0.265,0.0016,0
20240525,13689.0,N,0.214,0.018,0
20240526,13689.0,N,0.186,0.1254,0
20240526,13690.0,N,0.232,0.0034,0
20240527,13690.0,N,0.228,0.0045,0
20240528,13691.0,C,0.344,0.0488,0
20240529,13691.0,M,0.652,0.0164,1
20240529,13693.0,N,0.288,0.0525,0
20240529,13696.0,N,0.13,0.007,0
20240531,13692.0,N,0.175,0.1021,0
20240531,13691.0,C,0.497,0.0127,0
20240531,13693.0,N,0.163,0.6927,0
20240531,13696.0,N,0.127,0.0809,0
20240531,13697.0,X,0.893,0.2176,1
20240601,13691.0,C,0.557,0.0868,0
20240601,13693.0,N,0.162,0.0294,0
20240601,13697.0,X,0.866,0.0482,1
20240602,13693.0,N,0.184,0.0048,0
20240602,13697.0,M,0.819,0.2211,1
20240602,13698.0,N,0.318,0.0211,0
