CLASS,noaaID,FITS文件,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
N,13286,hmi.sharp_cea_720s.9424.20230427_114800_TAI.magnetogram.fits,2208.354,6.90767299e+23,39334925300000.0,421.583069,15520489300000.0,2.3227824e+22,1364.19446,14259.752,4.40555334,54.4330521
N,13286,hmi.sharp_cea_720s.9424.20230427_121200_TAI.magnetogram.fits,2131.4834,6.90361975e+23,39169736800000.0,370.94397,12523339300000.0,2.32148671e+22,1361.23022,14036.2764,4.38526773,54.4322968
N,13286,hmi.sharp_cea_720s.9424.20230427_124800_TAI.magnetogram.fits,2120.14062,6.83225607e+23,39246714900000.0,388.37204,13595254500000.0,2.33427851e+22,1373.58704,13798.7773,4.32667923,54.4484062
N,13286,hmi.sharp_cea_720s.9424.20230427_132400_TAI.magnetogram.fits,2133.07666,6.88910951e+23,39625271800000.0,403.408295,11734557400000.0,2.35264712e+22,1377.0116,13583.1582,4.33803082,54.537838
N,13286,hmi.sharp_cea_720s.9424.20230427_140000_TAI.magnetogram.fits,2182.96484,6.94930499e+23,40243440900000.0,428.950928,13046750600000.0,2.35181575e+22,1397.09375,13677.8496,4.39390373,54.9389648
N,13286,hmi.sharp_cea_720s.9424.20230427_142400_TAI.magnetogram.fits,2198.88647,6.96067856e+23,40325649300000.0,420.7164,12251983500000.0,2.35375951e+22,1412.12134,13803.0684,4.48000669,54.766674
N,13286,hmi.sharp_cea_720s.9424.20230427_150000_TAI.magnetogram.fits,2207.73145,7.05216504e+23,39840506700000.0,458.002258,14618940400000.0,2.37651169e+22,1413.84192,14125.8457,4.38182926,54.5754433
N,13286,hmi.sharp_cea_720s.9424.20230427_153600_TAI.magnetogram.fits,2252.38916,7.1290123e+23,39864762400000.0,502.283875,16678886800000.0,2.38802695e+22,1420.21045,14650.7979,4.46230602,54.4104805
N,13286,hmi.sharp_cea_720s.9424.20230427_161200_TAI.magnetogram.fits,2314.32886,7.20422025e+23,39853022500000.0,535.338074,18072066900000.0,2.39266453e+22,1421.31091,15582.7988,4.39127588,54.0273476
N,13286,hmi.sharp_cea_720s.9424.20230427_164800_TAI.magnetogram.fits,2385.44897,7.2880254e+23,40724187800000.0,544.531616,17612838800000.0,2.42177039e+22,1406.83386,15892.8047,4.39410162,53.2841034
N,13286,hmi.sharp_cea_720s.9424.20230427_171200_TAI.magnetogram.fits,2490.02783,7.40546126e+23,43229932200000.0,586.291199,21259775600000.0,2.46942996e+22,1413.95386,15679.3799,4.37793112,52.6628075
N,13286,hmi.sharp_cea_720s.9424.20230427_174800_TAI.magnetogram.fits,2601.87427,7.53812434e+23,46273809900000.0,639.816895,22932344500000.0,2.53437907e+22,1419.1134,15071.9824,4.41242647,52.3021774
N,13286,hmi.sharp_cea_720s.9424.20230427_182400_TAI.magnetogram.fits,2684.65991,7.7030022e+23,49132534200000.0,720.146851,25788132900000.0,2.59377277e+22,1432.40552,14041.8311,4.48485374,53.0563812
N,13286,hmi.sharp_cea_720s.9424.20230427_190000_TAI.magnetogram.fits,2636.24121,7.70297266e+23,46894701100000.0,756.99231,26538818900000.0,2.52604516e+22,1423.21423,14196.4375,4.51975584,55.0236168
N,13286,hmi.sharp_cea_720s.9424.20230427_193600_TAI.magnetogram.fits,2509.09229,7.60335591e+23,43416423500000.0,736.429382,24344124200000.0,2.43229395e+22,1421.86035,14753.8418,4.51490498,56.745266
N,13286,hmi.sharp_cea_720s.9424.20230427_201200_TAI.magnetogram.fits,2410.26196,7.56132832e+23,41630904100000.0,724.457458,25831061600000.0,2.37230195e+22,1433.13867,15318.0898,4.53051376,57.2224121
N,13286,hmi.sharp_cea_720s.9424.20230427_203600_TAI.magnetogram.fits,2376.73438,7.51004709e+23,41370144200000.0,714.406677,25547371400000.0,2.36541955e+22,1439.78784,15350.9033,4.54896593,57.399971
N,13286,hmi.sharp_cea_720s.9424.20230427_211200_TAI.magnetogram.fits,2446.69165,7.59716112e+23,43072008200000.0,684.257996,24230731200000.0,2.41047019e+22,1435.9314,15415.1523,4.51309967,56.2247391
N,13286,hmi.sharp_cea_720s.9424.20230427_214800_TAI.magnetogram.fits,2503.71558,7.71307369e+23,44900959600000.0,670.664917,23903873300000.0,2.46898883e+22,1424.10107,15449.6787,4.50768042,55.320282
N,13286,hmi.sharp_cea_720s.9424.20230427_222400_TAI.magnetogram.fits,2508.83789,7.84521074e+23,45697621600000.0,701.11261,26581298800000.0,2.51919113e+22,1427.08655,15484.1045,4.48746157,54.302639
N,13287,hmi.sharp_cea_720s.9437.20230427_222400_TAI.magnetogram.fits,128.112762,7.27522574e+21,3048761460000.0,8.17654991,887843324000.0,2.04234232e+21,127.405945,1521.70825,0.0,2.11111093
N,13287,hmi.sharp_cea_720s.9437.20230427_230000_TAI.magnetogram.fits,126.784866,7.10472171e+21,2921152910000.0,14.4125223,1073147870000.0,1.90023447e+21,123.59124,1655.2478,0.0,2.41336632
N,13287,hmi.sharp_cea_720s.9437.20230427_233600_TAI.magnetogram.fits,117.869553,6.88265259e+21,2685823350000.0,14.4519043,1051091860000.0,1.77397409e+21,121.451698,1780.33215,0.0,2.23290968
N,13287,hmi.sharp_cea_720s.9437.20230428_001200_TAI.magnetogram.fits,119.531898,6.8997263e+21,2648711360000.0,17.1474228,989770023000.0,1.73493646e+21,122.890442,1860.81848,0.0,2.57879663
N,13287,hmi.sharp_cea_720s.9437.20230428_004800_TAI.magnetogram.fits,118.49192,7.00653367e+21,2649036420000.0,13.4167051,644260037000.0,1.7434819e+21,122.749374,1863.59119,0.0,2.33133173
N,13287,hmi.sharp_cea_720s.9437.20230428_012400_TAI.magnetogram.fits,116.273537,7.08602952e+21,2654248110000.0,16.8285751,1129120010000.0,1.76271115e+21,123.7425,1836.09338,2.30275106,3.26909828
N,13287,hmi.sharp_cea_720s.9437.20230428_020000_TAI.magnetogram.fits,125.751472,7.36420899e+21,2823700610000.0,20.8508072,1490637820000.0,1.77485384e+21,128.746429,1929.4198,0.0,2.6096034
N,13287,hmi.sharp_cea_720s.9437.20230428_023600_TAI.magnetogram.fits,120.462639,7.05703985e+21,2730247850000.0,18.3987007,1386391800000.0,1.74892844e+21,133.032913,1838.70532,0.0,3.01038074
N,13287,hmi.sharp_cea_720s.9437.20230428_032400_TAI.magnetogram.fits,122.467621,7.06112349e+21,2782330360000.0,13.1125917,694477259000.0,1.75299646e+21,132.56514,1830.90015,0.0,2.27272725
N,13287,hmi.sharp_cea_720s.9437.20230428_040000_TAI.magnetogram.fits,125.094017,7.28506836e+21,2874141840000.0,10.4815931,683363992000.0,1.81954474e+21,134.711823,1795.60083,0.0,2.88052368
N,13287,hmi.sharp_cea_720s.9437.20230428_043600_TAI.magnetogram.fits,130.418549,7.09423114e+21,3004618510000.0,7.04422331,506142949000.0,1.83128239e+21,138.533844,1718.74585,0.0,2.22007728
N,13287,hmi.sharp_cea_720s.9437.20230428_051200_TAI.magnetogram.fits,119.985558,6.68148242e+21,2771982480000.0,4.94541502,461325763000.0,1.794193e+21,140.719742,1646.29211,0.0,3.04319382
N,13287,hmi.sharp_cea_720s.9437.20230428_054800_TAI.magnetogram.fits,121.509789,6.67870652e+21,2868951650000.0,7.84472322,407098687000.0,1.82451573e+21,140.94696,1592.96106,0.0,3.67437458
N,13287,hmi.sharp_cea_720s.9437.20230428_062400_TAI.magnetogram.fits,139.695831,6.90662581e+21,3314414520000.0,10.3865261,468717535000.0,1.82895544e+21,142.441101,1637.98364,0.0,5.00787401
N,13287,hmi.sharp_cea_720s.9437.20230428_070000_TAI.magnetogram.fits,148.765533,7.02274212e+21,3545238340000.0,13.6572924,724975813000.0,1.81908833e+21,140.604416,1668.14905,0.0,5.29968452
N,13287,hmi.sharp_cea_720s.9437.20230428_073600_TAI.magnetogram.fits,137.260315,6.35241735e+21,3051323650000.0,13.7435598,747493327000.0,1.6657699e+21,142.920853,1767.65942,0.0,3.62158155
N,13287,hmi.sharp_cea_720s.9437.20230428_081200_TAI.magnetogram.fits,125.315918,5.68734433e+21,2649528990000.0,18.11063,1243111750000.0,1.49568906e+21,140.578537,1849.89001,0.0,2.93736506
N,13287,hmi.sharp_cea_720s.9437.20230428_084800_TAI.magnetogram.fits,110.035294,5.43614705e+21,2337730720000.0,17.7976665,1086063970000.0,1.45066714e+21,138.233353,1815.23181,0.0,2.52771616
N,13287,hmi.sharp_cea_720s.9437.20230428_092400_TAI.magnetogram.fits,100.44545,5.39845361e+21,2229113980000.0,14.2157564,1154157770000.0,1.52549924e+21,140.984787,1641.08362,0.0,2.34154224
N,13287,hmi.sharp_cea_720s.9437.20230428_100000_TAI.magnetogram.fits,101.65847,5.1724005e+21,2294998630000.0,6.45451355,626457969000.0,1.4989394e+21,140.183762,1576.18359,1.86529076,2.266289
N,13287,hmi.sharp_cea_720s.9437.20230428_103600_TAI.magnetogram.fits,90.253006,4.66513221e+21,2020830870000.0,0.941114247,253952737000.0,1.410848e+21,138.804871,1501.18958,1.87874448,1.66666675
N,13287,hmi.sharp_cea_720s.9437.20230428_112400_TAI.magnetogram.fits,97.4972687,4.61372699e+21,2259722440000.0,0.716635168,79412437000.0,1.46073958e+21,138.261124,1347.58545,0.0,2.24980593
N,13287,hmi.sharp_cea_720s.9437.20230428_120000_TAI.magnetogram.fits,100.852379,5.01647012e+21,2368714310000.0,0.892026663,137578414000.0,1.49446915e+21,139.555038,1414.73267,1.62134373,2.92134833
N,13287,hmi.sharp_cea_720s.9437.20230428_123600_TAI.magnetogram.fits,104.892242,5.27242826e+21,2479393870000.0,3.93685675,175210447000.0,1.5742811e+21,146.597794,1400.3772,0.0,3.17460346
N,13287,hmi.sharp_cea_720s.9437.20230428_131200_TAI.magnetogram.fits,106.010078,5.58138139e+21,2581967670000.0,7.98276138,687109505000.0,1.69496547e+21,150.28302,1359.65906,0.0,2.84697509
N,13287,hmi.sharp_cea_720s.9437.20230428_134800_TAI.magnetogram.fits,107.139236,5.24436126e+21,2606503820000.0,6.23355675,673064026000.0,1.65304287e+21,158.434204,1303.70911,0.0,2.77319241
N,13287,hmi.sharp_cea_720s.9437.20230428_142400_TAI.magnetogram.fits,98.7947464,4.88297216e+21,2359431270000.0,8.77356339,773990384000.0,1.59539144e+21,157.45105,1300.60632,0.0,1.94552517
N,13287,hmi.sharp_cea_720s.9437.20230428_150000_TAI.magnetogram.fits,106.708702,5.11607567e+21,2496734950000.0,8.29530334,520907457000.0,1.57281616e+21,157.822433,1376.32642,0.0,2.25080371
N,13287,hmi.sharp_cea_720s.9437.20230428_153600_TAI.magnetogram.fits,102.519836,4.97635993e+21,2367622480000.0,8.63934326,389015798000.0,1.52427594e+21,157.319061,1412.41357,0.0,1.73388612
N,13287,hmi.sharp_cea_720s.9437.20230428_161200_TAI.magnetogram.fits,104.445534,5.44614279e+21,2388755480000.0,9.43509769,625112646000.0,1.54845971e+21,162.118652,1556.89954,0.0,2.46772981
N,13287,hmi.sharp_cea_720s.9437.20230428_164800_TAI.magnetogram.fits,110.518936,5.57057106e+21,2489875430000.0,14.6542473,1187931100000.0,1.58289592e+21,160.003052,1610.81616,0.0,1.72811055
N,13287,hmi.sharp_cea_720s.9437.20230428_172400_TAI.magnetogram.fits,121.230385,5.86742132e+21,2637301550000.0,22.9573689,1453519270000.0,1.54253917e+21,165.505539,1801.83154,0.0,1.83523655
N,13287,hmi.sharp_cea_720s.9437.20230428_180000_TAI.magnetogram.fits,126.993484,5.9468181e+21,2702123730000.0,23.827589,1371610680000.0,1.52829513e+21,166.454285,1889.39929,0.0,3.20675111
N,13287,hmi.sharp_cea_720s.9437.20230428_183600_TAI.magnetogram.fits,139.011673,6.02126541e+21,3096694230000.0,20.0669365,878007681000.0,1.59510757e+21,162.074768,1729.18872,0.0,3.85202122
N,13287,hmi.sharp_cea_720s.9437.20230428_191200_TAI.magnetogram.fits,157.548355,6.80882114e+21,3764742000000.0,21.9728355,1029994180000.0,1.75704688e+21,163.327942,1655.45789,0.0,6.29641581
N,13287,hmi.sharp_cea_720s.9437.20230428_200000_TAI.magnetogram.fits,128.903839,6.15364422e+21,3076598270000.0,13.5520573,624405905000.0,1.62867966e+21,164.183945,1620.14478,0.0,4.44055939
N,13287,hmi.sharp_cea_720s.9437.20230428_203600_TAI.magnetogram.fits,117.44883,6.05814145e+21,2758096720000.0,8.38372421,407584539000.0,1.54883309e+21,163.362289,1695.16968,2.03477168,4.19918251
N,13287,hmi.sharp_cea_720s.9437.20230428_211200_TAI.magnetogram.fits,108.286247,5.68657027e+21,2513905910000.0,6.80030346,381401399000.0,1.50687995e+21,165.321625,1648.79163,2.2215836,3.00346565
N,13287,hmi.sharp_cea_720s.9437.20230428_214800_TAI.magnetogram.fits,111.381294,6.06844738e+21,2544965260000.0,15.5272961,1033819910000.0,1.57408674e+21,165.925949,1750.75146,0.0,3.4099617
N,13287,hmi.sharp_cea_720s.9437.20230428_222400_TAI.magnetogram.fits,115.485115,6.09047167e+21,2540072600000.0,22.2558174,1615903060000.0,1.57471823e+21,170.607819,1804.81885,0.0,1.88901997
N,13298,hmi.sharp_cea_720s.9488.20230506_094800_TAI.magnetogram.fits,23.2375565,8.07482888e+20,490127950000.0,5.97900772,432754065000.0,2.41735495e+20,38.4564285,1604.28503,0.0,1.31926119
N,13298,hmi.sharp_cea_720s.9488.20230506_102400_TAI.magnetogram.fits,18.2289867,6.7171871e+20,382812815000.0,6.65389538,507600011000.0,2.10198599e+20,38.0671082,1461.8363,0.0,1.44508672
N,13298,hmi.sharp_cea_720s.9488.20230506_110000_TAI.magnetogram.fits,18.599556,7.32213312e+20,405718991000.0,3.98936725,260756455000.0,2.11946224e+20,37.3524208,1527.2771,0.0,2.49307466
N,13298,hmi.sharp_cea_720s.9488.20230506_113600_TAI.magnetogram.fits,21.4493961,7.69109193e+20,495749726000.0,4.12543964,327469367000.0,2.32007016e+20,37.4892082,1426.42651,0.0,1.47783256
N,13298,hmi.sharp_cea_720s.9488.20230506_121200_TAI.magnetogram.fits,17.1241493,6.44459759e+20,396185862000.0,3.0375762,288545047000.0,2.06234059e+20,36.9144554,1318.66772,0.0,3.80434775
