id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X,prediction_date,MPlus_avg
d2f0fe82-181d-4998-9b11-36ee46a3f590,13620,-8,10.0,True,AMOS_v1,2024/3/29 0:00,2024/3/30 0:00,2024/3/29 0:30,0.0287,0.0,,,0.0,20240329,0.01
d3f40586-a7f4-486b-b061-b1b5daaf1b5c,13621,17,38.0,True,NOAA_1,2024/3/24 0:00,2024/3/25 0:00,2024/3/23 22:00,,0.02,0.150000006,0.01,0.01,20240324,0.02
d30495c8-4aab-48d4-aea0-93ae06d8d424,13621,17,52.0,True,AMOS_v1,2024/3/25 0:00,2024/3/26 0:00,2024/3/25 0:30,0.071800001,0.0053,,,0.0,20240325,0.0053
f3ed24ef-6b57-440b-83ce-a4db55dd68d8,13621,15,94.0,True,AMOS_v1,2024/3/28 0:00,2024/3/29 0:00,2024/3/28 0:30,0.100900002,0.0109,,,0.0009,20240328,0.01545
89e92447-949c-489c-a73a-7fd81619a62f,13622,19,-61.0,True,ASAP_1,2024/3/25 0:00,2024/3/26 0:00,2024/3/25 0:00,,0.038699999,0.199000001,0.038699999,0.0,20240325,0.024925000000000003
54506cbf-cf1f-49ed-b5e0-aa9192527b7a,13622,20,-46.0,True,ASAP_1,2024/3/26 0:00,2024/3/27 0:00,2024/3/26 0:00,,0.020400001,0.181999996,0.020400001,0.0,20240326,0.008133333666666668
0dca9935-92ea-4fae-a987-9461445311fd,13622,19,-32.0,True,ASAP_1,2024/3/27 0:00,2024/3/28 0:00,2024/3/27 0:00,,0.0,0.103,0.0,0.0,20240327,0.0
962db293-8866-48f5-9446-0759e2a7b765,13623,-19,35.0,True,NOAA_1,2024/3/26 0:00,2024/3/27 0:00,2024/3/25 22:00,,0.02,0.100000001,0.01,0.01,20240326,0.02
076cc4cd-e98e-437c-b67e-c434bfbc9dd2,13623,-19,47.0,True,AMOS_v1,2024/3/27 0:00,2024/3/28 0:00,2024/3/27 0:30,0.0403,0.0055,,,0.0,20240327,0.012750000000000001
586f01d6-c7f9-40cc-8a59-d4632634f497,13624,16,-50.0,True,ASAP_1,2024/3/31 0:00,2024/4/1 0:00,2024/3/31 0:00,,0.020199999,0.180000007,0.020199999,0.0,20240331,0.020199999
4e6f0d08-2d72-44f7-bf46-120f28e9117e,13624,16,-39.0,True,AMOS_v1,2024/4/1 0:00,2024/4/2 0:00,2024/4/1 0:30,0.0403,0.0055,,,0.0,20240401,0.0055
5b831385-0ddb-45cf-97da-87e9326d0aad,13625,12,65.0,True,ASAP_1,2024/4/1 0:00,2024/4/2 0:00,2024/4/1 0:00,,0.034200002,0.263999999,0.034200002,0.0,20240401,0.035800000750000005
b61c64d6-1cf0-4fae-b946-e7d53fcab01e,13625,13,78.0,True,AMOS_v1,2024/4/2 0:00,2024/4/3 0:00,2024/4/2 0:30,0.464700013,0.083800003,,,0.0062,20240402,0.083800003
19d913c6-2a32-400e-8036-1eb97f63beea,13626,11,33.0,True,ASAP_1,2024/4/2 0:00,2024/4/3 0:00,2024/4/2 0:00,,0.020199999,0.180000007,0.020199999,0.0,20240402,0.0200999995
9ec35b6b-f7ce-4e7b-abe2-8d5ab45a038a,13626,13,48.0,True,AMOS_v1,2024/4/3 0:00,2024/4/4 0:00,2024/4/3 0:30,0.0403,0.0055,,,0.0,20240403,0.0055
9877508c-18c6-41fc-a452-dc6d1958f464,13627,9,-58.0,True,ASAP_1,2024/4/3 0:00,2024/4/4 0:00,2024/4/3 0:00,,0.0115,0.093800001,0.0115,0.0,20240403,0.01575
cca25a3b-d005-4db3-9cea-0520cd6ecb4e,13627,10,-44.0,True,AMOS_v1,2024/4/4 0:00,2024/4/5 0:00,2024/4/4 0:30,0.024499999,0.0032,,,0.0,20240404,0.0020666666666666667
76024242-fa9a-44f9-aa54-ef1ab629d08d,13628,7,-67.0,True,ASAP_1,2024/4/4 0:00,2024/4/5 0:00,2024/4/4 0:00,,0.09380000299999999,0.275999993,0.075000003,0.0188,20240404,0.0569000015
ffc20265-6039-4cbc-81ae-8c58c224a78a,13628,10,-54.0,True,AMOS_v1,2024/4/5 0:00,2024/4/6 0:00,2024/4/5 0:30,0.0407,0.0,,,0.0,20240405,0.0
f048f0e4-d6ab-4a59-8a45-d71eb2241e3f,13629,7,12.0,True,ASAP_1,2024/4/5 0:00,2024/4/6 0:00,2024/4/5 0:00,,0.033100002,0.254999995,0.033100002,0.0,20240405,0.0137750005
a93fa3ec-d993-4657-89ee-4e30a01441e3,13629,6,28.0,True,AMOS_v1,2024/4/6 0:00,2024/4/7 0:00,2024/4/6 0:30,0.071800001,0.0053,,,0.0,20240406,0.0053
3c30f6cb-08d0-45a0-95de-35c6c6f2ec17,13631,11,8.0,True,NOAA_1,2024/4/6 0:00,2024/4/7 0:00,2024/4/5 22:00,,0.02,0.050000001,0.01,0.01,20240406,0.02
c72e1b32-646d-4dbe-a2a4-cf57c2b1f8d7,13632,26,-44.0,True,MAG4_LOS_FEr,2024/4/6 0:00,2024/4/7 0:00,2024/4/6 0:00,,0.004,,0.003,0.001,20240406,0.0035
b4011d1d-fe2f-4dfc-8b96-9f885be9dd06,13632,26,-30.0,True,AMOS_v1,2024/4/7 0:00,2024/4/8 0:00,2024/4/7 0:30,0.136099994,0.0217,,,0.0,20240407,0.0217
7a0db3bf-62e3-43f5-9a65-732b995c2e93,13633,-9,-71.0,True,ASAP_1,2024/4/7 0:00,2024/4/8 0:00,2024/4/7 0:00,,0.0211,0.187999994,0.0211,0.0,20240407,0.013525
77510dc2-efa4-4c8b-964c-393e7c5fdd6c,13633,-8,-59.0,True,AMOS_v1,2024/4/8 0:00,2024/4/9 0:00,2024/4/8 0:30,0.0407,0.0,,,0.0,20240408,0.0298399998
f6b33d4b-6674-4c2c-928d-33df4f247b2a,13633,-7,-44.0,True,AMOS_v1,2024/4/9 0:00,2024/4/10 0:00,2024/4/9 0:30,0.180700004,0.0199,,,0.0,20240409,0.0426000015
