id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X
86537d78-5a87-471f-8e20-6e8097ddc091,13501,-10,-73.0,True,NOAA_1,2023/11/24 0:00,2023/11/25 0:00,2023/11/23 22:00,,0.0,0.100000001,0.0,0.0
ff53183e-5db7-408f-a487-5ab8904c17b4,13501,-9,-58.0,True,AMOS_v1,2023/11/25 0:00,2023/11/26 0:00,2023/11/25 0:30,0.100000001,0.016000001,,,0.0009
6d79fd05-f431-4d85-aa54-b4188991075e,13501,-9,-58.0,True,MAG4_LOS_FEr,2023/11/25 0:00,2023/11/26 0:00,2023/11/25 0:00,,0.006,,0.005,0.001
5413cfd1-28da-49e5-9def-d0c09a7bd817,13501,-9,-58.0,True,MAG4_LOS_r,2023/11/25 0:00,2023/11/26 0:00,2023/11/25 0:00,,0.005,,0.005,0.0
b57d5f52-242a-4114-9561-59d528d5ea34,13502,14,-13.0,True,ASAP_1,2023/11/25 0:00,2023/11/26 0:00,2023/11/25 0:00,,0.564999998,0.56099999,0.347000003,0.217999995
3d83f713-2e25-4534-8903-5e4de946eb52,13502,14,-13.0,True,NOAA_1,2023/11/25 0:00,2023/11/26 0:00,2023/11/24 22:00,,0.110000001,0.5,0.100000001,0.01
ad803e6b-5431-4695-b3da-9cd4a7940dd2,13502,14,1.0,True,AMOS_v1,2023/11/26 0:00,2023/11/27 0:00,2023/11/26 0:30,0.464700013,0.083800003,,,0.0062
b561deed-11d2-498b-bdac-e62c5813951d,13503,21,-58.0,True,MAG4_LOS_FEr,2023/11/26 0:00,2023/11/27 0:00,2023/11/26 0:00,,0.001,,0.001,0.0
973c7359-5293-447d-b91c-ad4977e0ee8d,13503,21,-58.0,True,MAG4_LOS_r,2023/11/26 0:00,2023/11/27 0:00,2023/11/26 0:00,,0.001,,0.001,0.0
7c753e16-9d13-411a-99d8-00da409afc71,13503,21,-58.0,True,NOAA_1,2023/11/26 0:00,2023/11/27 0:00,2023/11/25 22:00,,0.02,0.150000006,0.01,0.01
413760fa-5a4d-48b4-9b75-d1652603af43,13503,21,-45.0,True,AMOS_v1,2023/11/27 0:00,2023/11/28 0:00,2023/11/27 0:30,0.071800001,0.0053,,,0.0
16502e9c-a9a6-42fa-bd57-d0d918b9faca,13503,15,-18.0,True,AMOS_v1,2023/11/29 0:00,2023/11/30 0:00,2023/11/29 0:30,0.0287,0.0,,,0.0
33197257-4338-41ed-829e-df700c657827,13503,15,-18.0,True,MAG4_LOS_FEr,2023/11/29 0:00,2023/11/30 0:00,2023/11/29 0:00,,0.0,,0.0,0.0
83e30ad2-29ec-4564-8ff4-62245f6dd63d,13503,15,-18.0,True,MAG4_LOS_r,2023/11/29 0:00,2023/11/30 0:00,2023/11/29 0:00,,0.0,,0.0,0.0
cea42497-e678-4984-8d16-4b4a44835d79,13504,14,65.0,True,ASAP_1,2023/11/27 0:00,2023/11/28 0:00,2023/11/27 0:00,,0.032099999,0.247999996,0.032099999,0.0
7ce85ec1-8c2b-4b4e-ae35-23796a823c68,13504,14,65.0,True,NOAA_1,2023/11/27 0:00,2023/11/28 0:00,2023/11/26 22:00,,0.050000001,0.200000003,0.050000001,0.0
bc7e0dbf-8e01-4bb9-a386-08ab860a5a06,13504,14,79.0,True,AMOS_v1,2023/11/28 0:00,2023/11/29 0:00,2023/11/28 0:30,0.089500003,0.0,,,0.0
566c0285-a49e-4276-9424-228f315d8425,13504,14,79.0,True,NOAA_1,2023/11/28 0:00,2023/11/29 0:00,2023/11/27 22:00,,0.02,0.150000006,0.01,0.01
fa689497-2626-4aeb-807b-72cba83f0e83,13505,-17,-69.0,True,NOAA_1,2023/11/29 0:00,2023/11/30 0:00,2023/11/28 22:00,,0.02,0.100000001,0.01,0.01
37ee410d-6748-4904-9946-3d9148e378d8,13505,-18,-55.0,True,AMOS_v1,2023/11/30 0:00,2023/12/1 0:00,2023/11/30 0:30,0.068300001,0.0034,,,0.0
d751b02e-5d27-428a-907b-292beb759f77,13505,-17,-29.0,True,MAG4_LOS_FEr,2023/12/2 0:00,2023/12/3 0:00,2023/12/2 0:00,,0.006,,0.005,0.001
25538815-ece7-42aa-bc6d-2bc6d04e989a,13505,-17,-29.0,True,MAG4_LOS_r,2023/12/2 0:00,2023/12/3 0:00,2023/12/2 0:00,,0.005,,0.005,0.0
78f6c7e2-be59-4bd1-8cfd-52d0055a9554,13508,-14,-65.0,True,MAG4_LOS_FEr,2023/11/30 0:00,2023/12/1 0:00,2023/11/30 0:00,,0.015,,0.013,0.002
166ef7ed-c03b-43f8-8513-4a805022af12,13508,-14,-65.0,True,MAG4_LOS_r,2023/11/30 0:00,2023/12/1 0:00,2023/11/30 0:00,,0.012,,0.011,0.001
c35005fe-c60c-43d5-be53-3fe838594555,13508,-14,-65.0,True,NOAA_1,2023/11/30 0:00,2023/12/1 0:00,2023/11/29 22:00,,0.02,0.050000001,0.01,0.01
