NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11594,2012.10.19_03:00:00_TAI,1,C,-0.08017915,-0.470810073,-0.001097349,-0.341232157,-0.068187529,0.186251332,0.162328061,-1.122505519,-0.301030309,-1.346948687
11594,2012.10.19_03:36:00_TAI,1,C,-0.041738815,-0.465280158,0.044281511,-0.290186021,0.011775005,0.180650386,0.159716517,-1.107649684,-0.42174409,-1.314350524
11594,2012.10.19_04:12:00_TAI,1,C,-0.052179237,-0.472537112,0.008298537,-0.291944446,0.020020532,0.114056543,0.165160696,-1.078597494,-0.176201286,-1.315404077
11594,2012.10.19_04:48:00_TAI,1,C,-0.075361795,-0.485753606,-0.04243932,-0.250597409,0.101557433,0.030074084,0.170589485,-1.05924362,-0.202264489,-1.331951053
11594,2012.10.19_05:24:00_TAI,1,C,-0.122351779,-0.496528038,-0.104768103,-0.190707325,0.218842266,-0.019511463,0.158322755,-1.060465175,-0.039026536,-1.359529347
11594,2012.10.19_06:00:00_TAI,1,C,-0.140992658,-0.492825108,-0.107010187,-0.278747008,-0.067978182,-0.003353266,0.151772663,-1.07047684,-0.365502442,-1.318440788
11594,2012.10.19_06:36:00_TAI,1,C,-0.154655922,-0.491776451,-0.108674867,-0.276866419,-0.006177417,0.02256518,0.158040562,-1.092178559,-0.314747785,-1.332694737
11594,2012.10.19_07:12:00_TAI,1,C,-0.17117446,-0.492134722,-0.091699526,-0.351712366,-0.048708815,0.057087326,0.160387941,-1.128669357,-0.506106562,-1.333438422
11594,2012.10.19_07:48:00_TAI,1,C,-0.156827518,-0.486991138,-0.049584396,-0.386351476,-0.09949942,0.077532369,0.171867686,-1.134351891,-0.506106562,-1.300592364
11594,2012.10.19_08:24:00_TAI,1,C,-0.128354911,-0.480224632,0.000923561,-0.467779483,-0.071848034,0.070726396,0.169733177,-1.117303577,-0.506106562,-1.238742617
11594,2012.10.19_09:00:00_TAI,1,C,-0.147000936,-0.488474412,-0.049140911,-0.462404257,-0.114968221,0.008300512,0.164911543,-1.095761263,-0.515022921,-1.24834854
11594,2012.10.19_09:36:00_TAI,1,C,-0.171224449,-0.500328382,-0.103751768,-0.437512371,-0.089186985,-0.065394211,0.152526836,-1.07763037,-0.187175266,-1.268799859
11594,2012.10.19_10:12:00_TAI,1,C,-0.199600018,-0.507898311,-0.14496627,-0.387713792,-0.056852048,-0.100584662,0.155507771,-1.080646484,-0.24273104,-1.324824078
11594,2012.10.19_10:48:00_TAI,1,C,-0.207485837,-0.51034869,-0.165473178,-0.401074116,-0.082089993,-0.121921931,0.160015683,-1.071713598,-0.579495053,-1.313544866
11594,2012.10.19_11:24:00_TAI,1,C,-0.224515296,-0.51514649,-0.191610712,-0.320138468,-0.025123643,-0.139628541,0.156906437,-1.073678729,-0.279082349,-1.314598419
11594,2012.10.19_12:00:00_TAI,1,C,-0.243086337,-0.516682292,-0.207877009,-0.356706291,-0.134924806,-0.147448513,0.149528551,-1.07515804,-0.85110106,-1.31881263
11594,2012.10.19_12:36:00_TAI,1,C,-0.241599154,-0.515711305,-0.202679245,-0.279542926,0.015305758,-0.149280291,0.136658061,-1.072702578,-0.843556449,-1.306046049
11594,2012.10.19_13:12:00_TAI,1,C,-0.216819142,-0.512092218,-0.171342429,-0.3902015,-0.215969364,-0.131755474,0.148459449,-1.073788008,-0.505420688,-1.294333021
11594,2012.10.19_13:48:00_TAI,1,C,-0.211259298,-0.510983969,-0.158128552,-0.359582704,-0.155159728,-0.12880293,0.155194727,-1.073444966,-2.148774202,-1.276856439
11594,2012.10.19_14:24:00_TAI,1,C,-0.199497099,-0.507615975,-0.132175772,-0.43361052,-0.016175335,-0.09859129,0.156442981,-1.086986833,-2.148774202,-1.268118148
11594,2012.10.19_15:00:00_TAI,1,C,-0.167977347,-0.498840287,-0.070486608,-0.488062446,-0.01713871,-0.038365964,0.171663038,-1.104193364,-2.148774202,-1.282991835
11594,2012.10.19_15:36:00_TAI,1,C,-0.131366034,-0.492937155,-0.010259162,-0.418473263,0.067951544,0.012944017,0.163032373,-1.126970774,-2.148774202,-1.245373803
11594,2012.10.19_16:12:00_TAI,1,C,-0.168915383,-0.498589869,-0.064421981,-0.420783277,0.110743239,0.013873757,0.171167824,-1.142786842,-2.148774202,-1.304372759
11594,2012.10.19_16:48:00_TAI,1,C,-0.1884002,-0.503081274,-0.110112305,-0.37492727,0.151191077,-0.010323718,0.179412277,-1.133131049,-2.148774202,-1.329472105
11594,2012.10.19_17:24:00_TAI,1,C,-0.173060087,-0.501596674,-0.121681607,-0.286332295,0.021782043,-0.042507952,0.179592259,-1.095374984,-2.148774202,-1.326311447
11594,2012.10.19_18:00:00_TAI,1,C,-0.197930521,-0.508661764,-0.173591341,-0.297001304,-0.111106398,-0.089458371,0.175942616,-1.071056496,-0.376476422,-1.318626709
