CLASS,noaaID,FITS文件,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
M,13695,hmi.sharp_cea_720s.11275.20240602_221200_TAI.magnetogram.fits,1.6092498171618324,0.13363885223909663,1.8729978364580455,0.7771237774637318,1.386399771835451,2.497450394600165,1.7186417782278556,-0.9243379901880798,0.6909305587036904,-1.0480174189267875
M,13695,hmi.sharp_cea_720s.11275.20240602_223600_TAI.magnetogram.fits,1.6131320966417317,0.1324677849193681,1.9331343175506275,0.9265324541380748,1.4876631166710235,2.5087369184058432,1.721290257035713,-0.9364525016288033,0.6908461791692532,-1.0147935624088866
M,13695,hmi.sharp_cea_720s.11275.20240602_233600_TAI.magnetogram.fits,1.578366022017659,0.12064654525640926,1.8984791641290848,0.9223400404153882,1.3362562685143995,2.5700533682404214,1.6833260786521833,-0.9670426259112254,0.8047212612559307,-1.0522556092225528
M,13695,hmi.sharp_cea_720s.11275.20240603_000000_TAI.magnetogram.fits,1.553565340726851,0.11909829413570441,1.8845694944398004,0.7414624519663807,1.1679768647053372,2.594369065658285,1.684124118468976,-0.9761256077256085,0.7240420193945512,-1.048529705722158
M,13695,hmi.sharp_cea_720s.11275.20240603_001200_TAI.magnetogram.fits,1.504447295752326,0.1138006953062029,1.8251935750289954,0.6683639207895858,1.0634808752322975,2.5884017018355068,1.6800614871532482,-0.9800154401098202,0.6994619585553171,-1.0534498630494609
M,13695,hmi.sharp_cea_720s.11275.20240603_011200_TAI.magnetogram.fits,1.4913191154577405,0.0943600454033793,1.8053668099608517,0.6165886193108322,0.9300552244505083,2.6421635682276694,1.6309054105322487,-1.0048375991979632,0.7692973294600006,-1.1138717568265142
M,13695,hmi.sharp_cea_720s.11275.20240603_013600_TAI.magnetogram.fits,1.499448889866761,0.10661587578237479,1.8164464897524593,0.5569235228733043,0.8915963291141595,2.6418132227115922,1.6375480183762443,-0.9964410163308883,0.7604258052588814,-1.1066496163590702
M,13695,hmi.sharp_cea_720s.11275.20240603_020000_TAI.magnetogram.fits,1.5002265366347425,0.10613464601563098,1.8062066075662113,0.5362577748545652,0.6956295869964376,2.6490798335432766,1.6259041385635586,-0.996749040649795,0.7990439101682214,-1.0984945667619639
M,13695,hmi.sharp_cea_720s.11275.20240603_024800_TAI.magnetogram.fits,1.5399938767073957,0.11761196486400524,1.8243130422607385,0.6076952034372032,1.1566402225347288,2.6757970320918294,1.6114033071026053,-0.9896338553883575,0.8176418165978375,-1.107363142568506
M,13695,hmi.sharp_cea_720s.11275.20240603_031200_TAI.magnetogram.fits,1.5155004477440133,0.11847385201411464,1.7769654372578447,0.5169882184925693,0.8617882290691794,2.6629869542745626,1.582448408139921,-0.9828467015474192,0.8176293959413419,-1.1085284363179992
M,13695,hmi.sharp_cea_720s.11275.20240603_033600_TAI.magnetogram.fits,1.5496570384884027,0.12277546798584779,1.8087024575976989,0.5415566118011613,0.9473469329072085,2.678735229912408,1.5850232559570163,-0.9796939011386978,0.7780030368681352,-1.115620850437509
