T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230605,LLM_VIT,BSS,13325,0.181,0.078,0.169,0.178,0.212,0.06,0.157,0.193,0.174,0.113,13325,0.151,N,13325.0,20230606
20230605,LLM_VIT,BSS,13326,0.441,0.278,0.461,0.489,0.344,0.268,0.409,0.528,0.439,0.458,13326,0.411,N,13326.0,20230606
20230606,LLM_VIT,BSS,"13320,13328",0.191,0.088,0.188,0.2,0.234,0.073,0.186,0.212,0.194,0.149,13320,0.171,N,13328.0,20230607
20230606,LLM_VIT,BSS,13321,0.417,0.251,0.365,0.432,0.361,0.16,0.396,0.384,0.362,0.422,13321,0.355,N,13321.0,20230607
20230606,LLM_VIT,BSS,13323,0.372,0.235,0.306,0.367,0.363,0.134,0.371,0.322,0.302,0.383,13323,0.315,C,13323.0,20230607
20230606,LLM_VIT,BSS,13325,0.199,0.075,0.202,0.205,0.206,0.075,0.169,0.235,0.203,0.134,13325,0.17,N,13325.0,20230607
20230606,LLM_VIT,BSS,13326,0.458,0.319,0.48,0.512,0.392,0.289,0.455,0.519,0.451,0.512,13326,0.438,N,13326.0,20230607
20230606,LLM_VIT,BSS,13327,0.616,0.48,0.621,0.659,0.47,0.438,0.604,0.661,0.599,0.716,13327,0.586,M,13327.0,20230607
20230607,LLM_VIT,BSS,"13320,13328",0.259,0.108,0.237,0.251,0.233,0.095,0.206,0.283,0.243,0.183,13320,0.209,N,13328.0,20230608
20230607,LLM_VIT,BSS,13321,0.437,0.262,0.393,0.454,0.361,0.18,0.408,0.425,0.389,0.452,13321,0.376,N,13321.0,20230608
20230607,LLM_VIT,BSS,13323,0.352,0.208,0.299,0.338,0.344,0.132,0.332,0.314,0.296,0.355,13323,0.297,N,13323.0,20230608
20230607,LLM_VIT,BSS,13327,0.661,0.494,0.668,0.664,0.487,0.469,0.591,0.663,0.63,0.732,13327,0.605,C,13327.0,20230608
20230608,LLM_VIT,BSS,13321,0.436,0.251,0.427,0.464,0.35,0.209,0.401,0.464,0.424,0.469,13321,0.389,C,13321.0,20230609
20230608,LLM_VIT,BSS,13323,0.367,0.226,0.332,0.363,0.352,0.159,0.356,0.357,0.326,0.365,13323,0.32,C,13323.0,20230609
20230608,LLM_VIT,BSS,"13326,13329,13330",0.392,0.286,0.376,0.422,0.401,0.199,0.437,0.395,0.354,0.467,13330,0.372,N,13330.0,20230609
20230608,LLM_VIT,BSS,13327,0.774,0.622,0.778,0.727,0.554,0.646,0.682,0.785,0.746,0.846,13327,0.716,C,13327.0,20230609
20230609,LLM_VIT,BSS,13323,0.334,0.205,0.323,0.349,0.334,0.162,0.331,0.357,0.305,0.333,13323,0.303,C,13323.0,20230610
20230609,LLM_VIT,BSS,"13326,13329,13330",0.34,0.245,0.311,0.365,0.383,0.148,0.395,0.318,0.289,0.393,13329,0.318,N,13330.0,20230610
20230609,LLM_VIT,BSS,13327,0.7,0.536,0.688,0.636,0.521,0.512,0.614,0.689,0.648,0.761,13327,0.63,C,13327.0,20230610
20230609,LLM_VIT,BSS,13331,0.368,0.204,0.338,0.409,0.31,0.154,0.346,0.398,0.345,0.362,13331,0.323,N,13331.0,20230610
20230610,LLM_VIT,BSS,"13326,13329,13330",0.352,0.25,0.321,0.371,0.379,0.153,0.393,0.33,0.297,0.398,13329,0.324,N,13330.0,20230611
20230610,LLM_VIT,BSS,13327,0.645,0.47,0.611,0.577,0.489,0.414,0.556,0.605,0.576,0.685,13327,0.562,C,13327.0,20230611
20230610,LLM_VIT,BSS,13331,0.344,0.196,0.298,0.379,0.312,0.129,0.335,0.353,0.312,0.335,13331,0.299,C,13331.0,20230611
20230610,LLM_VIT,BSS,13332,0.158,0.064,0.148,0.164,0.205,0.061,0.151,0.191,0.165,0.116,13332,0.142,N,13332.0,20230611
20230611,LLM_VIT,BSS,"13326,13329,13330",0.437,0.304,0.422,0.453,0.401,0.23,0.442,0.443,0.391,0.471,13326,0.399,C,13330.0,20230612
20230611,LLM_VIT,BSS,13327,0.622,0.475,0.583,0.569,0.491,0.389,0.566,0.591,0.542,0.68,13327,0.55,C,13327.0,20230612
20230611,LLM_VIT,BSS,13331,0.306,0.169,0.259,0.329,0.298,0.105,0.298,0.299,0.267,0.293,13331,0.262,C,13331.0,20230612
20230611,LLM_VIT,BSS,13332,0.158,0.066,0.155,0.164,0.201,0.057,0.148,0.175,0.159,0.111,13332,0.139,N,13332.0,20230612
20230614,LLM_VIT,BSS,13331,0.431,0.221,0.389,0.411,0.324,0.189,0.348,0.45,0.41,0.42,13331,0.359,N,13331.0,20230615
20230615,LLM_VIT,BSS,13331,0.357,0.171,0.322,0.356,0.286,0.138,0.292,0.375,0.336,0.288,13331,0.292,M,13331.0,20230616
20230615,LLM_VIT,BSS,13333,0.374,0.197,0.309,0.394,0.308,0.131,0.328,0.372,0.338,0.35,13333,0.31,N,13333.0,20230616
20230616,LLM_VIT,BSS,13331,0.362,0.168,0.341,0.363,0.275,0.15,0.285,0.394,0.346,0.29,13331,0.297,C,13331.0,20230617
20230616,LLM_VIT,BSS,13333,0.337,0.182,0.271,0.358,0.309,0.112,0.319,0.329,0.296,0.322,13333,0.283,C,13333.0,20230617
20230616,LLM_VIT,BSS,13334,0.153,0.084,0.181,0.171,0.244,0.081,0.179,0.193,0.167,0.141,13334,0.159,N,13334.0,20230617
20230616,LLM_VIT,BSS,"13335,13336",0.619,0.568,0.649,0.693,0.539,0.504,0.679,0.679,0.597,0.781,13336,0.63,C,13335.0,20230617
20230617,LLM_VIT,BSS,13333,0.387,0.213,0.325,0.393,0.33,0.142,0.346,0.376,0.349,0.379,13333,0.323,N,13333.0,20230618
20230617,LLM_VIT,BSS,"13335,13336",0.539,0.499,0.539,0.593,0.525,0.376,0.629,0.55,0.486,0.695,13336,0.543,M,13336.0,20230618
20230617,LLM_VIT,BSS,"13337,13338",0.403,0.212,0.379,0.43,0.309,0.178,0.346,0.442,0.393,0.395,13338,0.348,N,13338.0,20230618
20230618,LLM_VIT,BSS,13333,0.335,0.18,0.274,0.335,0.304,0.113,0.305,0.326,0.292,0.316,13333,0.277,N,13333.0,20230619
20230618,LLM_VIT,BSS,"13335,13336",0.519,0.474,0.522,0.551,0.527,0.346,0.603,0.495,0.461,0.66,13335,0.515,C,13335.0,20230619
20230618,LLM_VIT,BSS,"13337,13338",0.389,0.22,0.367,0.414,0.324,0.179,0.356,0.419,0.363,0.362,13338,0.339,C,13337.0,20230619
20230619,LLM_VIT,BSS,13333,0.365,0.19,0.317,0.363,0.304,0.137,0.314,0.365,0.325,0.343,13333,0.302,N,13333.0,20230620
20230619,LLM_VIT,BSS,"13335,13336",0.572,0.519,0.605,0.583,0.564,0.432,0.632,0.554,0.54,0.725,13336,0.572,N,13336.0,20230620
20230619,LLM_VIT,BSS,"13337,13338",0.363,0.201,0.333,0.356,0.318,0.157,0.32,0.366,0.322,0.322,13337,0.305,N,13338.0,20230620
20230619,LLM_VIT,BSS,13339,0.393,0.21,0.365,0.423,0.312,0.165,0.35,0.412,0.364,0.377,13339,0.337,N,13339.0,20230620
20230620,LLM_VIT,BSS,13333,0.389,0.206,0.364,0.397,0.309,0.169,0.331,0.416,0.37,0.344,13333,0.329,N,13333.0,20230621
